time,S1,S2,S3
0.0,10.0,5.0,0.0
0.1,8.693582354183611,5.245077130957821,1.215835885948027
0.2,7.55783741487118,5.43595819385417,1.5344392720141393
0.30000000000000004,6.570468199067896,5.580271053978275,1.6619219570024515
0.4,5.712090639907355,5.684633539031746,1.7440109506495434
0.5,4.965853041814275,5.754785724759225,1.816398498016251
0.6000000000000001,4.317105243738726,5.795704932737584,1.8893435119998283
0.7000000000000001,3.75311104203048,5.811705683208583,1.9663102276505247
0.8,3.262798030599645,5.8065266350221245,2.0487084714401034
0.9,2.8365403680831807,5.783406074502517,2.137219436606407
1.0,2.4659697554528845,5.745147593716978,2.232247678009678
1.1,2.143811259566001,5.694177128383005,2.334052876484437
1.2000000000000002,1.863740214120293,5.632592666127597,2.442812971915466
1.3,1.6202580421637196,5.562207374964189,2.5586342254271663
1.4000000000000001,1.4085847874836253,5.484586921602262,2.68155957214255
1.5,1.2245649087225807,5.401082178102632,2.811581296799075
1.6,1.0645856768926552,5.312857546259869,2.94862711607115
1.7000000000000002,0.9255064037935349,5.220915516190903,3.0925726200684664
1.8,0.8045966850639773,5.126118090799907,3.2432401034526634
1.9000000000000001,0.6994828191996774,5.029205367826068,3.4003934678481165
2.0,0.6081013361013822,4.9308116503912,3.5637553201379952
2.1,0.5286584410003231,4.831479501316035,3.733004183111123
2.2,0.45959419310664507,4.731672151723928,3.907779031660782
2.3000000000000003,0.3995523937526264,4.631783925225444,4.087674396662206
2.4000000000000004,0.34735439754776165,4.532149298806758,4.2722551326984615
2.5,0.3019756402136773,4.433051019820732,4.461081740087657
2.6,0.26252524946412475,4.334727151778732,4.653705440441633
2.7,0.22822867395245708,4.237377071593962,4.8496439976348364
2.8000000000000003,0.19841263252957886,4.141166660891179,5.048400003330721
2.9000000000000004,0.17249179361816816,4.046232896533826,5.249505512124664
3.0,0.14995729324846968,3.9526878027359906,5.452520854838405
3.1,0.13036672191512866,3.860621893273199,5.656978285982088
3.2,0.1133354747284561,3.770107140524784,5.862392832052111
3.3000000000000003,0.09852920355182235,3.6811995621896667,6.068355218212131
3.4000000000000004,0.0856572408764774,3.5939414709600794,6.274492466215569
3.5,0.0744668920480422,3.508363423091367,6.480398068371798
3.6,0.06473846086316601,3.4244859127697027,6.685656392833151
3.7,0.056280961251446174,3.34232082877139,6.889950134062531
3.8000000000000003,0.04892835810960968,3.2618727279014683,7.093027818675911
3.9000000000000004,0.04253630603224269,3.183139936099554,7.294593779206218
4.0,0.03697931675870074,3.1061155012483925,7.494360131833044
4.1000000000000005,0.03214829879781843,3.030788017335677,7.692088188242079
4.2,0.027948411942360873,2.9571423398576835,7.887577522171782
4.3,0.024297202782149436,2.885160204244571,8.080645041085594
4.4,0.02112299124559252,2.8148207577343247,8.271121323724962
4.5,0.018363461700488807,2.746101020803158,8.458860920139223
4.6000000000000005,0.015964439567792275,2.6789762847806116,8.643742549809106
4.7,0.013878827659254838,2.6134204545976156,8.825662943989103
4.800000000000001,0.012065682896918967,2.5494063433854857,9.004534528949462
4.9,0.010489409687027645,2.4869059271339973,9.180285815551844
5.0,0.009119062439783799,2.4258905620433526,9.352861011279561
